**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=4, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test err 1:0.2440, 3:0.3349, 5:0.3630, 10:0.3836, 20:0.3905
test ndcg 1:0.5149, 3:0.5013, 5:0.5149, 10:0.5474, 20:0.6071
test err 1:0.2431, 3:0.3353, 5:0.3626, 10:0.3832, 20:0.3900
test ndcg 1:0.4988, 3:0.5024, 5:0.5088, 10:0.5423, 20:0.6023
test err 1:0.2414, 3:0.3341, 5:0.3606, 10:0.3810, 20:0.3884
test ndcg 1:0.5253, 3:0.5071, 5:0.5139, 10:0.5478, 20:0.6045
test err 1:0.2509, 3:0.3397, 5:0.3643, 10:0.3869, 20:0.3936
test ndcg 1:0.5184, 3:0.4998, 5:0.5097, 10:0.5460, 20:0.6068
test err 1:0.2474, 3:0.3376, 5:0.3641, 10:0.3857, 20:0.3925
test ndcg 1:0.5034, 3:0.4986, 5:0.5103, 10:0.5453, 20:0.6050
test err 1:0.2345, 3:0.3288, 5:0.3556, 10:0.3786, 20:0.3850
test ndcg 1:0.5310, 3:0.5065, 5:0.5174, 10:0.5549, 20:0.6120
test err 1:0.2534, 3:0.3391, 5:0.3664, 10:0.3889, 20:0.3952
test ndcg 1:0.5046, 3:0.5082, 5:0.5127, 10:0.5468, 20:0.6014
test err 1:0.2457, 3:0.3407, 5:0.3649, 10:0.3860, 20:0.3925
test ndcg 1:0.5023, 3:0.4985, 5:0.5109, 10:0.5493, 20:0.6035
test err 1:0.2422, 3:0.3316, 5:0.3594, 10:0.3807, 20:0.3871
test ndcg 1:0.5000, 3:0.5031, 5:0.5143, 10:0.5436, 20:0.6009
test err 1:0.2405, 3:0.3355, 5:0.3611, 10:0.3820, 20:0.3881
test ndcg 1:0.5184, 3:0.5041, 5:0.5178, 10:0.5510, 20:0.6092
test err 1:0.2474, 3:0.3378, 5:0.3633, 10:0.3867, 20:0.3930
test ndcg 1:0.4793, 3:0.4878, 5:0.4957, 10:0.5369, 20:0.5982
test err 1:0.2250, 3:0.3234, 5:0.3486, 10:0.3718, 20:0.3785
test ndcg 1:0.4839, 3:0.5021, 5:0.5082, 10:0.5417, 20:0.5947
test err 1:0.2336, 3:0.3337, 5:0.3578, 10:0.3794, 20:0.3856
test ndcg 1:0.4747, 3:0.4737, 5:0.4942, 10:0.5281, 20:0.5865
test err 1:0.2284, 3:0.3191, 5:0.3491, 10:0.3687, 20:0.3755
test ndcg 1:0.4988, 3:0.5026, 5:0.5083, 10:0.5454, 20:0.6012
test err 1:0.2379, 3:0.3306, 5:0.3558, 10:0.3779, 20:0.3845
test ndcg 1:0.4942, 3:0.4959, 5:0.5083, 10:0.5433, 20:0.6015
test err 1:0.2328, 3:0.3283, 5:0.3553, 10:0.3763, 20:0.3831
test ndcg 1:0.5000, 3:0.5003, 5:0.5106, 10:0.5450, 20:0.6001
test err 1:0.2405, 3:0.3313, 5:0.3595, 10:0.3806, 20:0.3868
test ndcg 1:0.5000, 3:0.5066, 5:0.5125, 10:0.5474, 20:0.6039
test err 1:0.2371, 3:0.3333, 5:0.3592, 10:0.3804, 20:0.3868
test ndcg 1:0.4770, 3:0.4941, 5:0.4998, 10:0.5400, 20:0.6027
test err 1:0.2216, 3:0.3222, 5:0.3477, 10:0.3706, 20:0.3770
test ndcg 1:0.4575, 3:0.4752, 5:0.4998, 10:0.5392, 20:0.5993
test err 1:0.2138, 3:0.3115, 5:0.3425, 10:0.3638, 20:0.3703
test ndcg 1:0.4839, 3:0.4899, 5:0.5062, 10:0.5395, 20:0.6008
test err 1:0.2336, 3:0.3245, 5:0.3529, 10:0.3744, 20:0.3810
test ndcg 1:0.4942, 3:0.5022, 5:0.5107, 10:0.5445, 20:0.6044
test err 1:0.2362, 3:0.3324, 5:0.3570, 10:0.3785, 20:0.3853
test ndcg 1:0.4908, 3:0.5037, 5:0.5124, 10:0.5487, 20:0.6012
test err 1:0.2302, 3:0.3293, 5:0.3545, 10:0.3766, 20:0.3825
test ndcg 1:0.4793, 3:0.4851, 5:0.5035, 10:0.5407, 20:0.5989
test err 1:0.2302, 3:0.3211, 5:0.3498, 10:0.3720, 20:0.3781
test ndcg 1:0.4713, 3:0.4806, 5:0.5018, 10:0.5399, 20:0.5976
test err 1:0.2293, 3:0.3188, 5:0.3493, 10:0.3709, 20:0.3772
test ndcg 1:0.5195, 3:0.5149, 5:0.5197, 10:0.5525, 20:0.6074
test err 1:0.2500, 3:0.3418, 5:0.3669, 10:0.3887, 20:0.3947
test ndcg 1:0.5172, 3:0.5047, 5:0.5114, 10:0.5510, 20:0.6041
test err 1:0.2483, 3:0.3382, 5:0.3644, 10:0.3870, 20:0.3928
test ndcg 1:0.4908, 3:0.4950, 5:0.5098, 10:0.5463, 20:0.6006
test err 1:0.2371, 3:0.3303, 5:0.3570, 10:0.3788, 20:0.3849
test ndcg 1:0.5000, 3:0.5003, 5:0.5109, 10:0.5450, 20:0.5969
test err 1:0.2440, 3:0.3337, 5:0.3604, 10:0.3829, 20:0.3887
test ndcg 1:0.5011, 3:0.4930, 5:0.5067, 10:0.5481, 20:0.6015
test err 1:0.2431, 3:0.3297, 5:0.3583, 10:0.3806, 20:0.3867
test ndcg 1:0.5011, 3:0.5021, 5:0.5123, 10:0.5449, 20:0.6021
test err 1:0.2414, 3:0.3332, 5:0.3600, 10:0.3811, 20:0.3875
test ndcg 1:0.5161, 3:0.5073, 5:0.5158, 10:0.5529, 20:0.6107
test err 1:0.2440, 3:0.3374, 5:0.3628, 10:0.3852, 20:0.3912
test ndcg 1:0.5448, 3:0.5169, 5:0.5244, 10:0.5587, 20:0.6117
test err 1:0.2621, 3:0.3466, 5:0.3742, 10:0.3951, 20:0.4009
test ndcg 1:0.4759, 3:0.4991, 5:0.5066, 10:0.5460, 20:0.6065
test err 1:0.2259, 3:0.3279, 5:0.3535, 10:0.3754, 20:0.3817
test ndcg 1:0.4862, 3:0.4862, 5:0.4999, 10:0.5433, 20:0.6031
test err 1:0.2353, 3:0.3237, 5:0.3512, 10:0.3745, 20:0.3811
test ndcg 1:0.5080, 3:0.5047, 5:0.5116, 10:0.5471, 20:0.6046
test err 1:0.2431, 3:0.3339, 5:0.3588, 10:0.3811, 20:0.3876
test ndcg 1:0.4908, 3:0.4943, 5:0.5075, 10:0.5465, 20:0.5995
test err 1:0.2405, 3:0.3317, 5:0.3601, 10:0.3811, 20:0.3874
test ndcg 1:0.5149, 3:0.4971, 5:0.5083, 10:0.5489, 20:0.6030
test err 1:0.2517, 3:0.3355, 5:0.3648, 10:0.3860, 20:0.3921
test ndcg 1:0.4770, 3:0.4866, 5:0.4997, 10:0.5383, 20:0.5938
test err 1:0.2353, 3:0.3266, 5:0.3551, 10:0.3761, 20:0.3829
test ndcg 1:0.4920, 3:0.4917, 5:0.5016, 10:0.5468, 20:0.6040
test err 1:0.2310, 3:0.3239, 5:0.3508, 10:0.3746, 20:0.3807
test ndcg 1:0.4575, 3:0.4807, 5:0.4950, 10:0.5345, 20:0.5957
test err 1:0.2224, 3:0.3201, 5:0.3486, 10:0.3693, 20:0.3764
test ndcg 1:0.5126, 3:0.4949, 5:0.5110, 10:0.5472, 20:0.6054
test err 1:0.2466, 3:0.3315, 5:0.3618, 10:0.3839, 20:0.3900
test ndcg 1:0.4851, 3:0.4824, 5:0.5017, 10:0.5431, 20:0.5979
test err 1:0.2310, 3:0.3192, 5:0.3501, 10:0.3717, 20:0.3780
test ndcg 1:0.4816, 3:0.4901, 5:0.4976, 10:0.5401, 20:0.6004
test err 1:0.2284, 3:0.3229, 5:0.3504, 10:0.3727, 20:0.3793
test ndcg 1:0.4931, 3:0.4961, 5:0.5083, 10:0.5474, 20:0.6023
test err 1:0.2353, 3:0.3282, 5:0.3565, 10:0.3779, 20:0.3841
test ndcg 1:0.4920, 3:0.4882, 5:0.5033, 10:0.5418, 20:0.6013
test err 1:0.2293, 3:0.3221, 5:0.3514, 10:0.3727, 20:0.3793
test ndcg 1:0.4965, 3:0.4836, 5:0.5027, 10:0.5404, 20:0.5938
test err 1:0.2397, 3:0.3235, 5:0.3552, 10:0.3771, 20:0.3828
test ndcg 1:0.4874, 3:0.4705, 5:0.4951, 10:0.5325, 20:0.5881
test err 1:0.2345, 3:0.3172, 5:0.3487, 10:0.3706, 20:0.3768
test ndcg 1:0.4885, 3:0.4864, 5:0.4997, 10:0.5388, 20:0.5914
test err 1:0.2388, 3:0.3257, 5:0.3549, 10:0.3764, 20:0.3824
test ndcg 1:0.5092, 3:0.5017, 5:0.5078, 10:0.5457, 20:0.6000
test err 1:0.2474, 3:0.3349, 5:0.3628, 10:0.3845, 20:0.3908
test ndcg 1:0.5034, 3:0.4988, 5:0.5056, 10:0.5459, 20:0.6036
test err 1:0.2379, 3:0.3263, 5:0.3558, 10:0.3776, 20:0.3840
test ndcg 1:0.5172, 3:0.5101, 5:0.5140, 10:0.5507, 20:0.6032
test err 1:0.2500, 3:0.3388, 5:0.3668, 10:0.3875, 20:0.3935
test ndcg 1:0.5069, 3:0.4930, 5:0.5043, 10:0.5451, 20:0.6016
test err 1:0.2388, 3:0.3242, 5:0.3541, 10:0.3764, 20:0.3824
test ndcg 1:0.4943, 3:0.4891, 5:0.5018, 10:0.5457, 20:0.6032
test err 1:0.2362, 3:0.3231, 5:0.3531, 10:0.3752, 20:0.3812
****************************************************************************************************
finish! Fold 1 ndcg 1:0.5448	3:0.5169	5:0.5244	10:0.5587	20:0.6117
finish! Fold 1 err 1:0.2621	3:0.3466	5:0.3742	10:0.3951	20:0.4009
finish! mean ndcg 1:0.5448	3:0.5169	5:0.5244	10:0.5587	20:0.6117
finish! mean err 1:0.2621	3:0.3466	5:0.3742	10:0.3951	20:0.4009
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=4, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
