test err 1:0.2440, 3:0.3450, 5:0.3700, 7:0.3813, 10:0.3896
test ndcg 1:0.5333, 3:0.5125, 5:0.5134, 7:0.5313, 10:0.5511
test err 1:0.2569, 3:0.3441, 5:0.3711, 7:0.3846, 10:0.3928
test ndcg 1:0.5057, 3:0.5029, 5:0.5119, 7:0.5277, 10:0.5452
test err 1:0.2414, 3:0.3356, 5:0.3619, 7:0.3749, 10:0.3833
test ndcg 1:0.5046, 3:0.5110, 5:0.5152, 7:0.5289, 10:0.5452
test err 1:0.2440, 3:0.3439, 5:0.3693, 7:0.3819, 10:0.3895
test ndcg 1:0.5092, 3:0.5077, 5:0.5101, 7:0.5232, 10:0.5430
test err 1:0.2457, 3:0.3401, 5:0.3670, 7:0.3783, 10:0.3866
test ndcg 1:0.4977, 3:0.5089, 5:0.5199, 7:0.5356, 10:0.5510
test err 1:0.2388, 3:0.3360, 5:0.3645, 7:0.3763, 10:0.3844
test ndcg 1:0.5011, 3:0.5051, 5:0.5118, 7:0.5283, 10:0.5436
test err 1:0.2362, 3:0.3341, 5:0.3617, 7:0.3741, 10:0.3817
test ndcg 1:0.4678, 3:0.4926, 5:0.4983, 7:0.5146, 10:0.5332
test err 1:0.2233, 3:0.3238, 5:0.3521, 7:0.3634, 10:0.3721
test ndcg 1:0.4965, 3:0.5125, 5:0.5206, 7:0.5265, 10:0.5445
test err 1:0.2362, 3:0.3401, 5:0.3668, 7:0.3758, 10:0.3844
test ndcg 1:0.5034, 3:0.5037, 5:0.5110, 7:0.5272, 10:0.5479
test err 1:0.2379, 3:0.3337, 5:0.3622, 7:0.3744, 10:0.3833
test ndcg 1:0.4793, 3:0.4931, 5:0.5056, 7:0.5197, 10:0.5423
test err 1:0.2267, 3:0.3218, 5:0.3514, 7:0.3636, 10:0.3727
test ndcg 1:0.5023, 3:0.5049, 5:0.5160, 7:0.5312, 10:0.5437
test err 1:0.2422, 3:0.3327, 5:0.3616, 7:0.3737, 10:0.3817
test ndcg 1:0.4942, 3:0.4833, 5:0.4973, 7:0.5169, 10:0.5364
test err 1:0.2362, 3:0.3195, 5:0.3506, 7:0.3635, 10:0.3727
test ndcg 1:0.4851, 3:0.4928, 5:0.5137, 7:0.5243, 10:0.5435
