**************************************************Fold-1**************************************************
test err 1:0.2371, 3:0.3355, 5:0.3621, 10:0.3811, 20:0.3877
test ndcg 1:0.5011, 3:0.4927, 5:0.5013, 10:0.5384, 20:0.5980
test err 1:0.2448, 3:0.3336, 5:0.3602, 10:0.3818, 20:0.3886
test ndcg 1:0.5057, 3:0.5134, 5:0.5148, 10:0.5416, 20:0.5999
test err 1:0.2466, 3:0.3418, 5:0.3679, 10:0.3866, 20:0.3931
test ndcg 1:0.5023, 3:0.4949, 5:0.5133, 10:0.5400, 20:0.6028
test err 1:0.2440, 3:0.3328, 5:0.3644, 10:0.3829, 20:0.3901
test ndcg 1:0.4908, 3:0.4999, 5:0.5042, 10:0.5358, 20:0.5951
test err 1:0.2405, 3:0.3373, 5:0.3648, 10:0.3833, 20:0.3898
test ndcg 1:0.5000, 3:0.4996, 5:0.5079, 10:0.5409, 20:0.6030
test err 1:0.2440, 3:0.3372, 5:0.3655, 10:0.3841, 20:0.3911
test ndcg 1:0.4977, 3:0.4971, 5:0.5038, 10:0.5321, 20:0.5970
test err 1:0.2422, 3:0.3356, 5:0.3620, 10:0.3819, 20:0.3893
test ndcg 1:0.4931, 3:0.4873, 5:0.4962, 10:0.5299, 20:0.5943
test err 1:0.2353, 3:0.3222, 5:0.3519, 10:0.3727, 20:0.3797
test ndcg 1:0.5103, 3:0.5033, 5:0.5091, 10:0.5394, 20:0.5996
test err 1:0.2466, 3:0.3416, 5:0.3665, 10:0.3872, 20:0.3940
test ndcg 1:0.4862, 3:0.5013, 5:0.5021, 10:0.5313, 20:0.5912
test err 1:0.2371, 3:0.3328, 5:0.3583, 10:0.3780, 20:0.3850
test ndcg 1:0.4954, 3:0.5020, 5:0.5080, 10:0.5354, 20:0.5969
test err 1:0.2388, 3:0.3351, 5:0.3620, 10:0.3821, 20:0.3888
test ndcg 1:0.4943, 3:0.5018, 5:0.5118, 10:0.5404, 20:0.6015
test err 1:0.2414, 3:0.3386, 5:0.3650, 10:0.3842, 20:0.3911
test ndcg 1:0.4851, 3:0.4917, 5:0.4988, 10:0.5319, 20:0.5950
test err 1:0.2310, 3:0.3260, 5:0.3549, 10:0.3734, 20:0.3810
test ndcg 1:0.4988, 3:0.4950, 5:0.5030, 10:0.5335, 20:0.5959
test err 1:0.2431, 3:0.3349, 5:0.3633, 10:0.3823, 20:0.3899
test ndcg 1:0.4862, 3:0.5010, 5:0.5084, 10:0.5360, 20:0.5972
test err 1:0.2336, 3:0.3347, 5:0.3611, 10:0.3795, 20:0.3862
test ndcg 1:0.5103, 3:0.5093, 5:0.5069, 10:0.5396, 20:0.6011
test err 1:0.2466, 3:0.3406, 5:0.3658, 10:0.3860, 20:0.3929
test ndcg 1:0.5149, 3:0.5023, 5:0.5118, 10:0.5437, 20:0.6032
test err 1:0.2414, 3:0.3325, 5:0.3617, 10:0.3808, 20:0.3879
test ndcg 1:0.4908, 3:0.4981, 5:0.5068, 10:0.5340, 20:0.5989
test err 1:0.2336, 3:0.3292, 5:0.3569, 10:0.3762, 20:0.3834
test ndcg 1:0.5218, 3:0.4923, 5:0.5045, 10:0.5397, 20:0.6021
test err 1:0.2483, 3:0.3334, 5:0.3624, 10:0.3837, 20:0.3909
test ndcg 1:0.5138, 3:0.4956, 5:0.5061, 10:0.5384, 20:0.6015
test err 1:0.2457, 3:0.3315, 5:0.3623, 10:0.3819, 20:0.3889
test ndcg 1:0.4942, 3:0.4988, 5:0.5036, 10:0.5338, 20:0.5990
test err 1:0.2379, 3:0.3343, 5:0.3613, 10:0.3801, 20:0.3874
test ndcg 1:0.5241, 3:0.5056, 5:0.5107, 10:0.5430, 20:0.6053
test err 1:0.2500, 3:0.3385, 5:0.3666, 10:0.3864, 20:0.3933
test ndcg 1:0.4942, 3:0.5018, 5:0.5096, 10:0.5415, 20:0.6037
test err 1:0.2310, 3:0.3300, 5:0.3565, 10:0.3762, 20:0.3829
test ndcg 1:0.4724, 3:0.4984, 5:0.5065, 10:0.5309, 20:0.5958
test err 1:0.2233, 3:0.3298, 5:0.3570, 10:0.3745, 20:0.3821
test ndcg 1:0.4965, 3:0.4995, 5:0.5142, 10:0.5390, 20:0.6032
test err 1:0.2362, 3:0.3350, 5:0.3638, 10:0.3813, 20:0.3883
test ndcg 1:0.5184, 3:0.5047, 5:0.5212, 10:0.5408, 20:0.6054
test err 1:0.2474, 3:0.3378, 5:0.3701, 10:0.3861, 20:0.3931
test ndcg 1:0.4885, 3:0.4824, 5:0.4923, 10:0.5283, 20:0.5937
test err 1:0.2267, 3:0.3194, 5:0.3499, 10:0.3709, 20:0.3778
test ndcg 1:0.5161, 3:0.5054, 5:0.5097, 10:0.5418, 20:0.6038
test err 1:0.2526, 3:0.3422, 5:0.3700, 10:0.3896, 20:0.3965
test ndcg 1:0.4977, 3:0.5000, 5:0.5087, 10:0.5358, 20:0.6003
