test ndcg 1:0.4783, 3:0.5120, 5:0.5350, 7:0.5760, 10:0.6264
test ndcg 1:0.4638, 3:0.4796, 5:0.5286, 7:0.5706, 10:0.6210
test ndcg 1:0.4783, 3:0.4961, 5:0.5513, 7:0.5786, 10:0.6268
test ndcg 1:0.4686, 3:0.5195, 5:0.5361, 7:0.5802, 10:0.6307
test ndcg 1:0.4879, 3:0.5107, 5:0.5439, 7:0.5859, 10:0.6235
test ndcg 1:0.4638, 3:0.4801, 5:0.5223, 7:0.5635, 10:0.6064
test ndcg 1:0.4686, 3:0.5122, 5:0.5488, 7:0.5907, 10:0.6227
test ndcg 1:0.4686, 3:0.4833, 5:0.5354, 7:0.5720, 10:0.6074
test ndcg 1:0.4638, 3:0.5026, 5:0.5439, 7:0.5920, 10:0.6218
test ndcg 1:0.4638, 3:0.5046, 5:0.5380, 7:0.5775, 10:0.6159
test ndcg 1:0.5217, 3:0.5220, 5:0.5524, 7:0.5912, 10:0.6348
test ndcg 1:0.5024, 3:0.4977, 5:0.5369, 7:0.5777, 10:0.6235
test ndcg 1:0.4541, 3:0.4815, 5:0.5307, 7:0.5728, 10:0.6131
test ndcg 1:0.4783, 3:0.4951, 5:0.5423, 7:0.5765, 10:0.6149
test ndcg 1:0.4444, 3:0.4944, 5:0.5381, 7:0.5873, 10:0.6196
test ndcg 1:0.4396, 3:0.4893, 5:0.5310, 7:0.5634, 10:0.6073
test ndcg 1:0.5411, 3:0.4917, 5:0.5441, 7:0.5854, 10:0.6338
test ndcg 1:0.4589, 3:0.4987, 5:0.5275, 7:0.5753, 10:0.6178
test ndcg 1:0.5121, 3:0.4961, 5:0.5372, 7:0.5855, 10:0.6262
test ndcg 1:0.4783, 3:0.4943, 5:0.5518, 7:0.5896, 10:0.6272
test ndcg 1:0.5266, 3:0.5173, 5:0.5570, 7:0.5907, 10:0.6366
test ndcg 1:0.4686, 3:0.5072, 5:0.5391, 7:0.5764, 10:0.6253
test ndcg 1:0.4541, 3:0.4877, 5:0.5280, 7:0.5726, 10:0.6226
test ndcg 1:0.4783, 3:0.5164, 5:0.5424, 7:0.5774, 10:0.6304
test ndcg 1:0.4928, 3:0.5087, 5:0.5464, 7:0.5809, 10:0.6366
test ndcg 1:0.4686, 3:0.4967, 5:0.5448, 7:0.5791, 10:0.6238
test ndcg 1:0.4589, 3:0.4908, 5:0.5388, 7:0.5786, 10:0.6207
test ndcg 1:0.5507, 3:0.5190, 5:0.5530, 7:0.5923, 10:0.6432
test ndcg 1:0.4493, 3:0.4756, 5:0.5261, 7:0.5607, 10:0.6073
test ndcg 1:0.4831, 3:0.5081, 5:0.5575, 7:0.5963, 10:0.6389
test ndcg 1:0.3768, 3:0.4597, 5:0.5013, 7:0.5403, 10:0.5756
test ndcg 1:0.5169, 3:0.5252, 5:0.5444, 7:0.5891, 10:0.6254
test ndcg 1:0.5072, 3:0.5327, 5:0.5451, 7:0.5949, 10:0.6315
test ndcg 1:0.4879, 3:0.5038, 5:0.5363, 7:0.5852, 10:0.6206
test ndcg 1:0.4928, 3:0.5009, 5:0.5379, 7:0.5794, 10:0.6228
test ndcg 1:0.4541, 3:0.4903, 5:0.5430, 7:0.5807, 10:0.6096
test ndcg 1:0.4879, 3:0.4991, 5:0.5461, 7:0.5784, 10:0.6225
test ndcg 1:0.4638, 3:0.4941, 5:0.5308, 7:0.5786, 10:0.6168
test ndcg 1:0.4783, 3:0.5183, 5:0.5476, 7:0.5751, 10:0.6202
test ndcg 1:0.5266, 3:0.5092, 5:0.5683, 7:0.6095, 10:0.6414
test ndcg 1:0.4831, 3:0.5189, 5:0.5501, 7:0.5821, 10:0.6301
test ndcg 1:0.5169, 3:0.5075, 5:0.5391, 7:0.5860, 10:0.6294
test ndcg 1:0.4879, 3:0.4764, 5:0.5471, 7:0.5860, 10:0.6200
test ndcg 1:0.5072, 3:0.5022, 5:0.5421, 7:0.5833, 10:0.6274
test ndcg 1:0.4928, 3:0.4872, 5:0.5446, 7:0.5773, 10:0.6244
test ndcg 1:0.4686, 3:0.5143, 5:0.5344, 7:0.5741, 10:0.6254
test ndcg 1:0.4831, 3:0.5017, 5:0.5541, 7:0.5885, 10:0.6300
test ndcg 1:0.4928, 3:0.4779, 5:0.5282, 7:0.5710, 10:0.6117
test ndcg 1:0.5217, 3:0.5107, 5:0.5625, 7:0.5901, 10:0.6334
test ndcg 1:0.5024, 3:0.5118, 5:0.5451, 7:0.5887, 10:0.6244
test ndcg 1:0.4541, 3:0.4776, 5:0.5234, 7:0.5724, 10:0.6096
test ndcg 1:0.5169, 3:0.5115, 5:0.5575, 7:0.5903, 10:0.6274
test ndcg 1:0.4928, 3:0.5065, 5:0.5514, 7:0.5891, 10:0.6288
test ndcg 1:0.5121, 3:0.5360, 5:0.5546, 7:0.5924, 10:0.6384
test ndcg 1:0.4396, 3:0.4932, 5:0.5333, 7:0.5677, 10:0.6185
test ndcg 1:0.4783, 3:0.4674, 5:0.5293, 7:0.5543, 10:0.6129
test ndcg 1:0.4493, 3:0.5118, 5:0.5221, 7:0.5612, 10:0.6112
test ndcg 1:0.4686, 3:0.4921, 5:0.5412, 7:0.5727, 10:0.6220
test ndcg 1:0.5024, 3:0.4970, 5:0.5468, 7:0.5765, 10:0.6261
test ndcg 1:0.4831, 3:0.5055, 5:0.5398, 7:0.5773, 10:0.6202
test ndcg 1:0.4783, 3:0.4903, 5:0.5353, 7:0.5697, 10:0.6132
test ndcg 1:0.4541, 3:0.4864, 5:0.5290, 7:0.5708, 10:0.6196
test ndcg 1:0.5024, 3:0.4755, 5:0.5456, 7:0.5688, 10:0.6153
test ndcg 1:0.4348, 3:0.4705, 5:0.5304, 7:0.5648, 10:0.6040
test ndcg 1:0.4493, 3:0.4684, 5:0.5129, 7:0.5524, 10:0.6015
test ndcg 1:0.5266, 3:0.5039, 5:0.5292, 7:0.5745, 10:0.6225
test ndcg 1:0.4879, 3:0.4951, 5:0.5303, 7:0.5812, 10:0.6170
test ndcg 1:0.4831, 3:0.4875, 5:0.5312, 7:0.5765, 10:0.6228
test ndcg 1:0.4783, 3:0.5047, 5:0.5309, 7:0.5651, 10:0.6152
test ndcg 1:0.5217, 3:0.4961, 5:0.5522, 7:0.5861, 10:0.6281
test ndcg 1:0.4734, 3:0.4914, 5:0.5443, 7:0.5716, 10:0.6242
test ndcg 1:0.4589, 3:0.4985, 5:0.5327, 7:0.5821, 10:0.6276
test ndcg 1:0.4348, 3:0.4810, 5:0.5223, 7:0.5691, 10:0.6073
test ndcg 1:0.4783, 3:0.5097, 5:0.5531, 7:0.5806, 10:0.6179
test ndcg 1:0.5362, 3:0.5309, 5:0.5567, 7:0.6051, 10:0.6367
test ndcg 1:0.4638, 3:0.4902, 5:0.5241, 7:0.5727, 10:0.6144
test ndcg 1:0.5121, 3:0.4788, 5:0.5429, 7:0.5827, 10:0.6214
test ndcg 1:0.5024, 3:0.5257, 5:0.5515, 7:0.5897, 10:0.6344
test ndcg 1:0.5459, 3:0.5230, 5:0.5501, 7:0.5832, 10:0.6299
test ndcg 1:0.4589, 3:0.4693, 5:0.5293, 7:0.5744, 10:0.6164
test ndcg 1:0.4831, 3:0.4988, 5:0.5310, 7:0.5691, 10:0.6128
test ndcg 1:0.4686, 3:0.5048, 5:0.5409, 7:0.5847, 10:0.6235
test ndcg 1:0.4976, 3:0.5000, 5:0.5356, 7:0.5696, 10:0.6161
test ndcg 1:0.5072, 3:0.4955, 5:0.5319, 7:0.5748, 10:0.6285
test ndcg 1:0.4396, 3:0.4988, 5:0.5396, 7:0.5673, 10:0.6191
test ndcg 1:0.4396, 3:0.4795, 5:0.5356, 7:0.5788, 10:0.6173
test ndcg 1:0.4686, 3:0.5317, 5:0.5548, 7:0.5923, 10:0.6362
test ndcg 1:0.4783, 3:0.4876, 5:0.5447, 7:0.5724, 10:0.6199
test ndcg 1:0.4589, 3:0.4967, 5:0.5396, 7:0.5731, 10:0.6238
test ndcg 1:0.5121, 3:0.5178, 5:0.5457, 7:0.5869, 10:0.6235
test ndcg 1:0.4734, 3:0.4990, 5:0.5400, 7:0.5852, 10:0.6161
test ndcg 1:0.4928, 3:0.5057, 5:0.5426, 7:0.5784, 10:0.6270
test ndcg 1:0.4734, 3:0.5007, 5:0.5398, 7:0.5746, 10:0.6160
test ndcg 1:0.5121, 3:0.4902, 5:0.5365, 7:0.5671, 10:0.6173
test ndcg 1:0.4831, 3:0.5169, 5:0.5483, 7:0.5823, 10:0.6205
test ndcg 1:0.4928, 3:0.4809, 5:0.5434, 7:0.5759, 10:0.6186
test ndcg 1:0.5121, 3:0.5022, 5:0.5419, 7:0.5936, 10:0.6204
finish! Fold 4 best test ndcg10:0.6612
