test ndcg 1:0.4816, 3:0.4925, 5:0.4985, 7:0.5223, 10:0.5383
test ndcg 1:0.4839, 3:0.4984, 5:0.5072, 7:0.5199, 10:0.5389
test ndcg 1:0.4736, 3:0.4908, 5:0.5063, 7:0.5214, 10:0.5329
test ndcg 1:0.4965, 3:0.5073, 5:0.5133, 7:0.5266, 10:0.5408
test ndcg 1:0.4701, 3:0.4788, 5:0.4814, 7:0.4986, 10:0.5219
test ndcg 1:0.4862, 3:0.4951, 5:0.5088, 7:0.5203, 10:0.5397
test ndcg 1:0.4724, 3:0.4794, 5:0.4919, 7:0.5110, 10:0.5305
test ndcg 1:0.5023, 3:0.5044, 5:0.5084, 7:0.5206, 10:0.5403
test ndcg 1:0.4942, 3:0.5065, 5:0.5212, 7:0.5327, 10:0.5506
test ndcg 1:0.5046, 3:0.5024, 5:0.5177, 7:0.5282, 10:0.5439
test ndcg 1:0.4782, 3:0.4771, 5:0.5007, 7:0.5163, 10:0.5349
test ndcg 1:0.4782, 3:0.4996, 5:0.5083, 7:0.5239, 10:0.5410
test ndcg 1:0.4920, 3:0.5031, 5:0.5133, 7:0.5257, 10:0.5413
test ndcg 1:0.4747, 3:0.5009, 5:0.5144, 7:0.5300, 10:0.5459
test ndcg 1:0.5126, 3:0.5118, 5:0.5209, 7:0.5356, 10:0.5488
test ndcg 1:0.5023, 3:0.5151, 5:0.5219, 7:0.5366, 10:0.5501
test ndcg 1:0.5034, 3:0.5127, 5:0.5268, 7:0.5368, 10:0.5537
test ndcg 1:0.4920, 3:0.4918, 5:0.5086, 7:0.5245, 10:0.5416
test ndcg 1:0.4931, 3:0.5233, 5:0.5233, 7:0.5385, 10:0.5509
test ndcg 1:0.4736, 3:0.5055, 5:0.5105, 7:0.5299, 10:0.5452
test ndcg 1:0.4759, 3:0.5032, 5:0.5091, 7:0.5208, 10:0.5390
test ndcg 1:0.5126, 3:0.5134, 5:0.5253, 7:0.5362, 10:0.5531
test ndcg 1:0.4897, 3:0.5132, 5:0.5266, 7:0.5423, 10:0.5545
test ndcg 1:0.5080, 3:0.5184, 5:0.5274, 7:0.5422, 10:0.5543
test ndcg 1:0.5172, 3:0.5168, 5:0.5302, 7:0.5415, 10:0.5543
test ndcg 1:0.5057, 3:0.5124, 5:0.5230, 7:0.5372, 10:0.5509
test ndcg 1:0.4965, 3:0.5125, 5:0.5163, 7:0.5326, 10:0.5492
test ndcg 1:0.4678, 3:0.4930, 5:0.5006, 7:0.5140, 10:0.5354
test ndcg 1:0.4943, 3:0.5059, 5:0.5193, 7:0.5362, 10:0.5515
test ndcg 1:0.4942, 3:0.5040, 5:0.5167, 7:0.5348, 10:0.5449
test ndcg 1:0.4851, 3:0.5017, 5:0.5124, 7:0.5272, 10:0.5462
test ndcg 1:0.5011, 3:0.5184, 5:0.5245, 7:0.5411, 10:0.5515
test ndcg 1:0.5092, 3:0.5224, 5:0.5265, 7:0.5367, 10:0.5508
test ndcg 1:0.4506, 3:0.4696, 5:0.4931, 7:0.5016, 10:0.5216
test ndcg 1:0.5057, 3:0.5110, 5:0.5229, 7:0.5394, 10:0.5509
test ndcg 1:0.4954, 3:0.5141, 5:0.5216, 7:0.5318, 10:0.5502
test ndcg 1:0.5080, 3:0.5040, 5:0.5224, 7:0.5381, 10:0.5515
test ndcg 1:0.5011, 3:0.5074, 5:0.5144, 7:0.5232, 10:0.5349
test ndcg 1:0.5092, 3:0.5000, 5:0.5167, 7:0.5267, 10:0.5438
test ndcg 1:0.4759, 3:0.4798, 5:0.4956, 7:0.5137, 10:0.5306
