test ndcg 1:0.4831, 3:0.5350, 5:0.5655, 7:0.5956, 10:0.6374
test ndcg 1:0.4686, 3:0.5279, 5:0.5587, 7:0.5885, 10:0.6260
test ndcg 1:0.4541, 3:0.5313, 5:0.5566, 7:0.5973, 10:0.6338
test ndcg 1:0.5507, 3:0.5445, 5:0.5819, 7:0.6181, 10:0.6607
test ndcg 1:0.4928, 3:0.5422, 5:0.5712, 7:0.6106, 10:0.6406
test ndcg 1:0.4879, 3:0.5162, 5:0.5620, 7:0.5968, 10:0.6282
test ndcg 1:0.5507, 3:0.5462, 5:0.5835, 7:0.6102, 10:0.6477
test ndcg 1:0.5266, 3:0.5515, 5:0.5707, 7:0.5897, 10:0.6397
test ndcg 1:0.5411, 3:0.5456, 5:0.5750, 7:0.6144, 10:0.6488
test ndcg 1:0.5121, 3:0.5191, 5:0.5644, 7:0.6051, 10:0.6438
test ndcg 1:0.5362, 3:0.5235, 5:0.5711, 7:0.6014, 10:0.6461
test ndcg 1:0.5169, 3:0.5376, 5:0.5778, 7:0.6135, 10:0.6457
test ndcg 1:0.5121, 3:0.5287, 5:0.5783, 7:0.6068, 10:0.6430
test ndcg 1:0.5556, 3:0.5384, 5:0.5774, 7:0.6136, 10:0.6525
test ndcg 1:0.5507, 3:0.5474, 5:0.5787, 7:0.6100, 10:0.6418
test ndcg 1:0.4734, 3:0.5448, 5:0.5641, 7:0.6062, 10:0.6401
test ndcg 1:0.5314, 3:0.5242, 5:0.5736, 7:0.6065, 10:0.6431
test ndcg 1:0.5266, 3:0.5189, 5:0.5517, 7:0.5910, 10:0.6309
test ndcg 1:0.5266, 3:0.5153, 5:0.5612, 7:0.5991, 10:0.6325
test ndcg 1:0.5169, 3:0.5371, 5:0.5592, 7:0.5994, 10:0.6462
test ndcg 1:0.5362, 3:0.5457, 5:0.5710, 7:0.6102, 10:0.6451
test ndcg 1:0.5169, 3:0.5209, 5:0.5632, 7:0.6009, 10:0.6426
test ndcg 1:0.5604, 3:0.5414, 5:0.5754, 7:0.6096, 10:0.6553
test ndcg 1:0.5217, 3:0.5278, 5:0.5545, 7:0.5837, 10:0.6243
test ndcg 1:0.5749, 3:0.5449, 5:0.5844, 7:0.6047, 10:0.6578
test ndcg 1:0.4976, 3:0.5144, 5:0.5591, 7:0.5942, 10:0.6311
test ndcg 1:0.5652, 3:0.5289, 5:0.5739, 7:0.6012, 10:0.6471
test ndcg 1:0.5411, 3:0.5114, 5:0.5580, 7:0.5926, 10:0.6307
test ndcg 1:0.5604, 3:0.5258, 5:0.5825, 7:0.6061, 10:0.6408
