**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.93, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, page=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.5385, 3:0.5067, 5:0.5457, 10:0.6457, 20:0.2829
test err 1:0.3269, 3:0.4159, 5:0.4389, 10:0.4559, 20:0.2180
test ndcg 1:0.4487, 3:0.4802, 5:0.5432, 10:0.6313, 20:0.2754
test err 1:0.2788, 3:0.3880, 5:0.4161, 10:0.4314, 20:0.2079
test ndcg 1:0.4808, 3:0.4723, 5:0.5223, 10:0.6241, 20:0.2779
test err 1:0.2933, 3:0.3909, 5:0.4180, 10:0.4355, 20:0.2170
test ndcg 1:0.4423, 3:0.4586, 5:0.5156, 10:0.6191, 20:0.2654
test err 1:0.2644, 3:0.3655, 5:0.3940, 10:0.4122, 20:0.1930
****************************************************************************************************
finish! Fold 1 ndcg 1:0.5128	3:0.4913	5:0.5496	10:0.6498	20:0.2844
finish! Fold 1 err 1:0.3077	3:0.4017	5:0.4332	10:0.4497	20:0.2209
**************************************************Fold-2**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.93, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, page=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2600, 3:0.3045, 5:0.3425, 10:0.4441, 20:0.2853
test err 1:0.1750, 3:0.2664, 5:0.2869, 10:0.3143, 20:0.1814
test ndcg 1:0.2733, 3:0.3203, 5:0.3551, 10:0.4426, 20:0.2832
test err 1:0.1850, 3:0.2784, 5:0.3020, 10:0.3248, 20:0.1851
test ndcg 1:0.3133, 3:0.3210, 5:0.3705, 10:0.4556, 20:0.2880
test err 1:0.2050, 3:0.2859, 5:0.3135, 10:0.3349, 20:0.1925
test ndcg 1:0.3267, 3:0.3338, 5:0.3937, 10:0.4580, 20:0.2975
test err 1:0.2150, 3:0.2968, 5:0.3260, 10:0.3452, 20:0.2047
test ndcg 1:0.2933, 3:0.3152, 5:0.3829, 10:0.4554, 20:0.2968
test err 1:0.1900, 3:0.2757, 5:0.3093, 10:0.3294, 20:0.1960
test ndcg 1:0.3267, 3:0.3267, 5:0.4004, 10:0.4727, 20:0.3134
test err 1:0.2150, 3:0.2896, 5:0.3277, 10:0.3477, 20:0.2118
test ndcg 1:0.2667, 3:0.3012, 5:0.3944, 10:0.4647, 20:0.3099
test err 1:0.1800, 3:0.2632, 5:0.3104, 10:0.3281, 20:0.2017
test ndcg 1:0.3133, 3:0.3190, 5:0.3916, 10:0.4730, 20:0.3058
test err 1:0.2150, 3:0.2842, 5:0.3201, 10:0.3415, 20:0.2021
test ndcg 1:0.2800, 3:0.2997, 5:0.3830, 10:0.4652, 20:0.3077
test err 1:0.1900, 3:0.2640, 5:0.3070, 10:0.3272, 20:0.1978
test ndcg 1:0.2800, 3:0.3229, 5:0.4098, 10:0.4806, 20:0.3263
test err 1:0.1800, 3:0.2794, 5:0.3209, 10:0.3377, 20:0.2136
test ndcg 1:0.2533, 3:0.3392, 5:0.4153, 10:0.4912, 20:0.3354
test err 1:0.1600, 3:0.2897, 5:0.3285, 10:0.3427, 20:0.2243
test ndcg 1:0.3200, 3:0.3587, 5:0.4145, 10:0.4944, 20:0.3307
test err 1:0.2100, 3:0.3060, 5:0.3428, 10:0.3580, 20:0.2294
test ndcg 1:0.3200, 3:0.3652, 5:0.4209, 10:0.4929, 20:0.3327
test err 1:0.2100, 3:0.3095, 5:0.3480, 10:0.3633, 20:0.2332
test ndcg 1:0.3600, 3:0.3962, 5:0.4364, 10:0.5031, 20:0.3461
test err 1:0.2400, 3:0.3379, 5:0.3683, 10:0.3846, 20:0.2624
test ndcg 1:0.3400, 3:0.3699, 5:0.4264, 10:0.4933, 20:0.3317
test err 1:0.2250, 3:0.3157, 5:0.3527, 10:0.3664, 20:0.2364
test ndcg 1:0.3800, 3:0.3963, 5:0.4574, 10:0.5087, 20:0.3502
test err 1:0.2550, 3:0.3570, 5:0.3870, 10:0.4005, 20:0.2747
