**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test err 1:0.1750, 3:0.2971, 5:0.3280, 10:0.3430, 20:0.2277
test ndcg 1:0.2533, 3:0.3660, 5:0.4006, 10:0.4956, 20:0.3344
test err 1:0.1500, 3:0.3017, 5:0.3249, 10:0.3421, 20:0.2215
test ndcg 1:0.3267, 3:0.3629, 5:0.4253, 10:0.5133, 20:0.3400
test err 1:0.2050, 3:0.3151, 5:0.3475, 10:0.3640, 20:0.2404
test ndcg 1:0.2733, 3:0.3404, 5:0.4159, 10:0.5072, 20:0.3399
test err 1:0.1650, 3:0.2904, 5:0.3295, 10:0.3441, 20:0.2206
test ndcg 1:0.3000, 3:0.3635, 5:0.4343, 10:0.5031, 20:0.3355
test err 1:0.1850, 3:0.3039, 5:0.3455, 10:0.3570, 20:0.2229
test ndcg 1:0.2600, 3:0.3555, 5:0.4277, 10:0.5071, 20:0.3306
test err 1:0.1750, 3:0.2966, 5:0.3368, 10:0.3507, 20:0.2141
test ndcg 1:0.2933, 3:0.3673, 5:0.4085, 10:0.4994, 20:0.3309
test err 1:0.1800, 3:0.3085, 5:0.3356, 10:0.3527, 20:0.2147
test ndcg 1:0.2600, 3:0.3565, 5:0.4164, 10:0.4908, 20:0.3337
test err 1:0.1650, 3:0.3009, 5:0.3283, 10:0.3444, 20:0.2171
test ndcg 1:0.2800, 3:0.3618, 5:0.4153, 10:0.5041, 20:0.3335
test err 1:0.1700, 3:0.3024, 5:0.3327, 10:0.3492, 20:0.2182
test ndcg 1:0.2933, 3:0.3570, 5:0.4105, 10:0.5026, 20:0.3315
test err 1:0.1800, 3:0.3031, 5:0.3348, 10:0.3515, 20:0.2210
test ndcg 1:0.2467, 3:0.3473, 5:0.4027, 10:0.4886, 20:0.3255
test err 1:0.1450, 3:0.2902, 5:0.3170, 10:0.3332, 20:0.2047
test ndcg 1:0.3000, 3:0.3242, 5:0.4070, 10:0.5026, 20:0.3298
test err 1:0.1850, 3:0.2798, 5:0.3269, 10:0.3428, 20:0.2063
test ndcg 1:0.2400, 3:0.3532, 5:0.4285, 10:0.5050, 20:0.3335
test err 1:0.1500, 3:0.2941, 5:0.3309, 10:0.3441, 20:0.2137
test ndcg 1:0.3333, 3:0.3636, 5:0.4275, 10:0.5130, 20:0.3363
test err 1:0.2100, 3:0.3100, 5:0.3502, 10:0.3656, 20:0.2245
test ndcg 1:0.2867, 3:0.3250, 5:0.4087, 10:0.4978, 20:0.3301
test err 1:0.1850, 3:0.2850, 5:0.3305, 10:0.3465, 20:0.2134
test ndcg 1:0.3200, 3:0.3368, 5:0.4296, 10:0.5037, 20:0.3377
test err 1:0.2100, 3:0.3006, 5:0.3477, 10:0.3620, 20:0.2314
test ndcg 1:0.3067, 3:0.3557, 5:0.4204, 10:0.5060, 20:0.3356
test err 1:0.2000, 3:0.3053, 5:0.3456, 10:0.3618, 20:0.2241
test ndcg 1:0.3400, 3:0.3797, 5:0.4360, 10:0.5166, 20:0.3407
test err 1:0.2150, 3:0.3215, 5:0.3578, 10:0.3713, 20:0.2322
test ndcg 1:0.3133, 3:0.3827, 5:0.4296, 10:0.5130, 20:0.3393
test err 1:0.2050, 3:0.3338, 5:0.3591, 10:0.3745, 20:0.2390
test ndcg 1:0.3000, 3:0.3559, 5:0.4076, 10:0.5106, 20:0.3230
test err 1:0.1950, 3:0.2979, 5:0.3385, 10:0.3548, 20:0.2170
test ndcg 1:0.3267, 3:0.3696, 5:0.4323, 10:0.5158, 20:0.3388
test err 1:0.2050, 3:0.3187, 5:0.3560, 10:0.3691, 20:0.2330
test ndcg 1:0.3333, 3:0.3622, 5:0.4256, 10:0.5092, 20:0.3393
test err 1:0.2100, 3:0.3216, 5:0.3548, 10:0.3708, 20:0.2418
test ndcg 1:0.3400, 3:0.3802, 5:0.4267, 10:0.5174, 20:0.3356
test err 1:0.2150, 3:0.3208, 5:0.3554, 10:0.3718, 20:0.2358
test ndcg 1:0.3400, 3:0.3633, 5:0.4329, 10:0.5177, 20:0.3322
test err 1:0.2150, 3:0.3139, 5:0.3551, 10:0.3692, 20:0.2311
****************************************************************************************************
